Date,Direction,Account_No,Sender,Sender_Type,Beneficiary,Beneficiary_Type,Amount,Transaction_Method
2026-02-28,OUT,AC-7745-1120,Me,Person,Tomas Novak,Person,8497.73,Transfer
2026-02-28,OUT,AC-7745-1120,Me,Person,Nabil Farouk,Person,7356.06,Transfer
2026-02-28,OUT,AC-7745-1120,Me,Person,Mei Ling Tan,Person,9258.41,Transfer
2026-02-28,OUT,AC-7745-1120,Me,Person,Victor Silva,Person,6749.48,Transfer
2026-02-28,OUT,AC-4021-8837,Me,Person,Me,Person,4000.0,Withdrawal
2026-03-05,OUT,AC-4021-8837,Me,Person,Al Futtaim Real Estate,Company,6500.0,Transfer
2026-03-06,OUT,AC-4021-8837,Me,Person,Zenith Insurance Co,Company,1478.68,Transfer
2026-03-06,OUT,AC-4021-8837,Me,Person,Me,Person,2019.6,Withdrawal
2026-03-07,IN,AC-7745-1120,Greenfield Property Mgmt,Company,Me,Person,16663.09,Transfer
2026-03-08,OUT,AC-4021-8837,Me,Person,IKEA Home Furnishings,Company,225.05,Transfer
2026-03-08,OUT,AC-4021-8837,Me,Person,Etisalat Telecom,Company,276.64,Transfer
2026-03-09,OUT,AC-4021-8837,Me,Person,City Municipality Services,Company,243.23,Transfer
2026-03-09,OUT,AC-4021-8837,Me,Person,Gulf Power & Water Authority,Company,664.19,Transfer
2026-03-09,OUT,AC-7745-1120,Me,Person,Crescent Bay Holdings Ltd,Company,40000.0,Transfer
2026-03-13,OUT,AC-4021-8837,Me,Person,Apple Store Dubai Mall,Company,131.77,Transfer
2026-03-13,OUT,AC-9902-3341,Me,Person,Me,Person,1439.3,Withdrawal
2026-03-15,IN,AC-7745-1120,Sterling Consulting Group,Company,Me,Person,12148.69,Cheque
2026-03-16,OUT,AC-4021-8837,Me,Person,Shell Service Station,Company,1234.78,Transfer
2026-03-17,OUT,AC-4021-8837,Me,Person,Me,Person,4987.85,Transfer
2026-03-17,IN,AC-4021-5590,Me,Person,Me,Person,4898.41,Transfer
2026-03-18,OUT,AC-9902-3341,Me,Person,Noon Marketplace,Company,1190.5,Transfer
2026-03-20,OUT,AC-9902-3341,Me,Person,Apple Store Dubai Mall,Company,304.37,Transfer
2026-03-20,IN,AC-7745-1120,Greenfield Property Mgmt,Company,Me,Person,18401.38,Cheque
2026-03-20,OUT,AC-4021-8837,Me,Person,Sterling Consulting Group,Company,15000.0,Transfer
2026-03-21,OUT,AC-9902-3341,Me,Person,Me,Person,495.32,Withdrawal
2026-03-21,IN,AC-7745-1120,Greenfield Property Mgmt,Company,Me,Person,16349.8,Transfer
2026-03-21,OUT,AC-9902-3341,Me,Person,IKEA Home Furnishings,Company,447.7,Transfer
2026-03-24,IN,AC-7745-1120,Omar Haddad,Person,Me,Person,4933.32,Cheque
2026-03-24,OUT,AC-7745-1120,Sterling Consulting Group,Company,Blue Harbor Trading LLC,Company,14800.0,Transfer
2026-03-25,OUT,AC-4021-8837,Me,Person,Noon Marketplace,Company,987.03,Transfer
2026-03-27,IN,AC-4021-8837,Meridian Logistics FZE,Company,Me,Person,18493.65,Transfer
2026-03-27,OUT,AC-4021-8837,Me,Person,Me,Person,475.9,Withdrawal
2026-03-28,OUT,AC-7745-1120,Me,Person,Aisha Bello,Person,5369.81,Transfer
2026-03-28,IN,AC-4021-8837,Blue Harbor Trading LLC,Company,Me,Person,14600.0,Transfer
2026-03-28,OUT,AC-7745-1120,Me,Person,Mei Ling Tan,Person,8874.77,Transfer
2026-03-28,OUT,AC-7745-1120,Me,Person,Victor Silva,Person,6941.55,Transfer
2026-03-28,OUT,AC-7745-1120,Me,Person,Nabil Farouk,Person,7276.87,Transfer
2026-03-28,OUT,AC-7745-1120,Me,Person,Grace Adeyemi,Person,6035.41,Transfer
2026-03-28,OUT,AC-7745-1120,Me,Person,Tomas Novak,Person,8381.14,Transfer
2026-04-03,OUT,AC-4021-8837,Me,Person,Me,Person,1014.19,Withdrawal
2026-04-05,OUT,AC-4021-8837,Me,Person,Al Futtaim Real Estate,Company,6500.0,Transfer
2026-04-06,OUT,AC-4021-5590,Me,Person,Omar Haddad,Person,7500.0,Transfer
2026-04-07,OUT,AC-4021-8837,Me,Person,Me,Person,1923.67,Withdrawal
2026-04-07,OUT,AC-4021-8837,Me,Person,Etisalat Telecom,Company,294.55,Transfer
2026-04-07,OUT,AC-4021-5590,Me,Person,Elena Petrova,Person,8200.0,Transfer
2026-04-08,OUT,AC-4021-8837,Me,Person,Gulf Power & Water Authority,Company,682.06,Transfer
2026-04-08,OUT,AC-9902-3341,Me,Person,Me,Person,2910.64,Withdrawal
2026-04-08,OUT,AC-4021-8837,Me,Person,Me,Person,8150.7,Transfer
2026-04-08,IN,AC-4021-5590,Me,Person,Me,Person,7257.91,Transfer
2026-04-08,OUT,AC-4021-5590,Me,Person,Rajesh Menon,Person,9300.0,Transfer
2026-04-09,OUT,AC-4021-5590,Me,Person,Priya Sharma,Person,9300.0,Transfer
2026-04-09,OUT,AC-4021-8837,Me,Person,Emirates Airlines,Company,276.98,Transfer
2026-04-10,OUT,AC-4021-5590,Me,Person,Sophia Rossi,Person,7500.0,Transfer
2026-04-11,OUT,AC-9902-3341,Me,Person,Noon Marketplace,Company,1244.55,Transfer
2026-04-12,OUT,AC-4021-8837,Me,Person,City Municipality Services,Company,197.76,Transfer
2026-04-12,OUT,AC-4021-8837,Me,Person,Zenith Insurance Co,Company,1527.45,Transfer
2026-04-13,OUT,AC-9902-3341,Me,Person,Me,Person,1022.48,Withdrawal
2026-04-14,OUT,AC-4021-8837,Me,Person,Noon Marketplace,Company,64.86,Transfer
2026-04-18,OUT,AC-9902-3341,Me,Person,Shell Service Station,Company,189.4,Transfer
2026-04-20,OUT,AC-9902-3341,Me,Person,Sharaf DG Electronics,Company,1257.78,Transfer
2026-04-20,OUT,AC-9902-3341,Me,Person,Shell Service Station,Company,99.57,Transfer
2026-04-20,IN,AC-7745-1120,Nova Medical Center,Company,Me,Person,15883.35,Transfer
2026-04-21,IN,AC-7745-1120,Nova Medical Center,Company,Me,Person,22831.74,Cheque
2026-04-24,OUT,AC-4021-8837,Me,Person,Spinneys Supermarket,Company,640.19,Transfer
2026-04-27,IN,AC-4021-8837,Meridian Logistics FZE,Company,Me,Person,18795.24,Transfer
2026-04-28,OUT,AC-7745-1120,Me,Person,Tomas Novak,Person,8155.53,Transfer
2026-04-28,OUT,AC-7745-1120,Me,Person,Victor Silva,Person,6742.51,Transfer
2026-04-28,OUT,AC-7745-1120,Me,Person,Grace Adeyemi,Person,5948.57,Transfer
2026-04-28,OUT,AC-7745-1120,Me,Person,Nabil Farouk,Person,7001.03,Transfer
2026-04-28,OUT,AC-7745-1120,Me,Person,Aisha Bello,Person,5228.84,Transfer
2026-04-28,OUT,AC-7745-1120,Me,Person,Mei Ling Tan,Person,9185.23,Transfer
2026-04-28,OUT,AC-4021-8837,Me,Person,Amazon.ae,Company,103.22,Transfer
2026-05-01,OUT,AC-9902-3341,Me,Person,IKEA Home Furnishings,Company,458.85,Transfer
2026-05-02,OUT,AC-4021-8837,Me,Person,IKEA Home Furnishings,Company,1150.8,Transfer
2026-05-05,OUT,AC-4021-8837,Me,Person,Spinneys Supermarket,Company,245.52,Transfer
2026-05-05,OUT,AC-4021-8837,Me,Person,City Municipality Services,Company,209.61,Transfer
2026-05-05,OUT,AC-4021-8837,Me,Person,Al Futtaim Real Estate,Company,6500.0,Transfer
2026-05-05,IN,AC-4021-8837,Falcon Auto Services,Company,Me,Person,4374.84,Cheque
2026-05-05,OUT,AC-4021-8837,Me,Person,Gulf Power & Water Authority,Company,609.3,Transfer
2026-05-06,OUT,AC-4021-8837,Me,Person,Me,Person,476.63,Withdrawal
2026-05-06,OUT,AC-9902-3341,Me,Person,Amazon.ae,Company,289.22,Transfer
2026-05-07,OUT,AC-4021-8837,Me,Person,Noon Marketplace,Company,308.21,Transfer
2026-05-08,OUT,AC-9902-3341,Me,Person,IKEA Home Furnishings,Company,313.59,Transfer
2026-05-10,OUT,AC-4021-8837,Me,Person,Me,Person,5049.26,Transfer
2026-05-10,OUT,AC-4021-8837,Me,Person,Zenith Insurance Co,Company,1540.18,Transfer
2026-05-10,OUT,AC-4021-8837,Me,Person,IKEA Home Furnishings,Company,592.09,Transfer
2026-05-10,IN,AC-4021-5590,Me,Person,Me,Person,5313.64,Transfer
2026-05-11,IN,AC-7745-1120,Nova Medical Center,Company,Me,Person,20927.18,Cheque
2026-05-12,IN,AC-7745-1120,Falcon Auto Services,Company,Me,Person,15357.72,Transfer
2026-05-12,OUT,AC-4021-8837,Me,Person,Etisalat Telecom,Company,307.25,Transfer
2026-05-15,OUT,AC-4021-8837,Me,Person,IKEA Home Furnishings,Company,111.07,Transfer
2026-05-15,OUT,AC-4021-8837,Me,Person,Apple Store Dubai Mall,Company,278.68,Transfer
2026-05-16,OUT,AC-4021-8837,Me,Person,Me,Person,519.76,Withdrawal
2026-05-16,OUT,AC-4021-8837,Me,Person,Sharaf DG Electronics,Company,49.95,Transfer
2026-05-18,IN,AC-7745-1120,Falcon Auto Services,Company,Me,Person,6276.43,Cheque
2026-05-24,OUT,AC-9902-3341,Me,Person,Noon Marketplace,Company,757.97,Transfer
2026-05-26,OUT,AC-4021-8837,Me,Person,Me,Person,504.22,Withdrawal
2026-05-27,IN,AC-4021-8837,Meridian Logistics FZE,Company,Me,Person,18235.82,Transfer
2026-05-28,OUT,AC-7745-1120,Me,Person,Grace Adeyemi,Person,5952.68,Transfer
2026-05-28,OUT,AC-7745-1120,Me,Person,Tomas Novak,Person,8234.88,Transfer
2026-05-28,OUT,AC-7745-1120,Me,Person,Victor Silva,Person,6819.88,Transfer
2026-05-28,OUT,AC-7745-1120,Me,Person,Mei Ling Tan,Person,9191.9,Transfer
2026-05-28,IN,AC-7745-1120,Blue Harbor Trading LLC,Company,Me,Person,7815.67,Cheque
2026-05-28,OUT,AC-7745-1120,Me,Person,Nabil Farouk,Person,7194.75,Transfer
2026-05-28,OUT,AC-7745-1120,Me,Person,Aisha Bello,Person,5206.63,Transfer
